2397.35	1610.37
2392.98	1554.19
2366.05	1551.39
2394.49	1537.39
2380.34	1614.75
2396.43	1547.43
2391.17	1622.26
2388.59	1603.39
2372.16	1535.31
2376.01	1604.4
2472.44	1538.32
2407.68	1552.75
2421.83	1513.1
2412.25	1560.13
2394.68	1560.92
2444.38	1593.33
2433.41	1518.76
2426.72	1546.24
2398.5	1617.19
2434.18	1565.9
2465.76	1533.64
2385.89	1564.39
2438.4	1587.93
2405.39	1609.98
2422.89	1556.79
2413.51	1615.27
2359.76	1560.33
2378.62	1596.21
2419.13	1510.66
2474.41	1547.95
2425.55	1522.2
2434.46	1560.48
2478.41	1592.28
2428.54	1556.39
2460.78	1620.52
2447.18	1571.47
2451.03	1520.88

2359.92	1598.83
2445.37	1520.51
2355.51	1546.79
2347.54	1550.86
2435.9	1609.79
2413.98	1609.52
2367.59	1619.47
2366.86	1540.33
2397.35	1610.37
2392.98	1554.19
2384.83	1596.25
2475.9	1511.31
2384.04	1536.53
2376.91	1622.81
2366.05	1551.39
2357.73	1604.1
2394.49	1537.39
2398.77	1646.24
2497.85	1592.5
2380.34	1614.75
2396.43	1547.43
2391.17	1622.26
2389.06	1613.32
2405.3	1507.15
2372.16	1535.31
2388.59	1603.39
2376.01	1604.4
2478.28	1532.39
2469.72	1632.48
2472.44	1538.32
2407.68	1552.75
2421.83	1513.1
2412.25	1560.13
2394.68	1560.92
2444.38	1593.33
2382.92	1551.32
2433.41	1518.76
2426.72	1546.24
2398.5	1617.19
2377.85	1561.47
2389.09	1630.36
2434.18	1565.9
2359.27	1540.16
2471.09	1530.91
2465.76	1533.64
2382.87	1566.91
2385.89	1564.39
2438.4	1587.93
2405.39	1609.98
2416.96	1635.57
2362.19	1606.83
2406.74	1514.34
2490.73	1605.42
2415.89	1522.63
2422.89	1556.79
2424.7	1506.35
2413.51	1615.27
2359.76	1560.33
2409.98	1644.91
2486.57	1596.14
2356.44	1517.87
2422.57	1644.07
2378.62	1596.21
2419.13	1510.66
2474.41	1547.95
2425.55	1522.2
2354.05	1536.21
2434.46	1560.48
2362.81	1536.47
2478.41	1592.28
2352.54	1527.59
2428.54	1556.39
2447.77	1507.79
2447.18	1571.47
2396.39	1510.41
2460.78	1620.52
2451.03	1520.88
2445.95	1505.41
