1839.3199999999999,1931.1600000000001
1782.8199999999999,1944.73
1793.24,1958.98
1773.1700000000001,1917.1099999999999
1782.4100000000001,1924.0899999999999
1768.72,1923.6700000000001
1763.45,1919.3599999999999
1764.3800000000001,1910.21
1820.3299999999999,1975.8499999999999
1834.1300000000001,1917.71
1809.77,1934.8599999999999
1773.6700000000001,1927.97
1761.1900000000001,1929.9100000000001
1804.8,1948.29
1801.5699999999999,1929.9000000000001
1772.8499999999999,1963.0599999999999
1801.3299999999999,1944.29
1842.8399999999999,1913.8399999999999
1798.6199999999999,1963.76
1799.3299999999999,1921.98
1752.98,1916.1400000000001
1750.55,1938.8299999999999
1779.9400000000001,1972.8
1822.5799999999999,1894.73
1786.46,1967.51
1820.4300000000001,1914.8800000000001
1812.6099999999999,1971.6500000000001
1809.97,1884.2
1797.4200000000001,1951.0699999999999
1823.1500000000001,1931.3099999999999
1767.0899999999999,1966.4200000000001
1809.27,1965.24
1834.5,1926.4100000000001
1821.3199999999999,1960.3
1807.0999999999999,1949.22
1777.46,1953.95
1822.45,1944.75
1762.3399999999999,1902.0999999999999
