Mun1.30Zm1.71T00.8913,                                          2.6401,   7.9113,   6.0257,  -0.1621,  -0.0996,   0.2372,   0.1033,   6.6079,   5.3705,   2.1976,   1.8915,   1.1047,   0.5372,  -0.3504,   0.2286,   0.9680,   0.4862,   4.7675,   5.9562,   4.5829,  -0.4772,   0.2223,  -0.0043,   1.4062,   0.0150,   0.0403,   0.6433,   0.8303,   0.8434,   0.4408,   0.2534,   0.2074,   0.8339,   0.0105,   0.0141,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T01.0000,                                          2.6488,   7.8101,   5.9241,  -0.1605,  -0.0994,   0.2444,   0.2137,   6.4509,   5.2535,   2.1572,   1.8565,   1.0804,   0.5204,  -0.3256,   0.2151,   0.9901,   0.4462,   4.6779,   5.8603,   4.5041,  -0.4742,   0.2180,  -0.0021,   1.4001,   0.0137,   0.0399,   0.6671,   0.8247,   0.8410,   0.4314,   0.2459,   0.1975,   0.8382,   0.0103,   0.0137,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T01.1220,                                          2.4864,   7.2473,   5.5459,  -0.1485,  -0.0903,   0.2577,   0.5458,   5.7562,   4.8242,   2.0195,   1.7350,   0.9926,   0.4568,  -0.1881,   0.2277,   1.0489,   0.5382,   4.3502,   5.4586,   4.2059,  -0.4759,   0.2274,  -0.0009,   1.4645,   0.0151,   0.0414,   0.6808,   0.8648,   0.8749,   0.4439,   0.2526,   0.1943,   0.8530,   0.0106,   0.0138,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T01.2589,                                          2.4205,   6.8003,   5.2227,  -0.1395,  -0.0840,   0.2792,   0.9467,   5.0873,   4.4035,   1.8998,   1.6299,   0.9220,   0.4112,  -0.0353,   0.2716,   1.1621,   0.6586,   4.0102,   5.0526,   3.8972,  -0.4866,   0.2637,  -0.0028,   1.6377,   0.0163,   0.0446,   0.7216,   0.9528,   0.9477,   0.4786,   0.2813,   0.2052,   0.8975,   0.0107,   0.0146,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T01.4125,                                          2.5666,   7.1144,   5.4058,  -0.1473,  -0.0915,   0.2802,   0.7705,   5.4890,   4.6204,   1.9562,   1.6795,   0.9623,   0.4457,  -0.1521,   0.2371,   1.1253,   0.5342,   4.1949,   5.3254,   4.0690,  -0.5022,   0.2315,  -0.0001,   1.5519,   0.0149,   0.0435,   0.7301,   0.9046,   0.9078,   0.4498,   0.2587,   0.1887,   0.8975,   0.0102,   0.0130,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T01.5849,                                          2.5166,   6.9729,   5.2944,  -0.1447,  -0.0903,   0.2839,   0.8815,   5.2891,   4.4826,   1.9095,   1.6396,   0.9363,   0.4298,  -0.1187,   0.2380,   1.1361,   0.5506,   4.0952,   5.2046,   3.9754,  -0.5089,   0.2220,   0.0009,   1.5487,   0.0145,   0.0430,   0.7438,   0.9067,   0.9088,   0.4397,   0.2544,   0.1799,   0.8936,   0.0100,   0.0123,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T01.7783,                                          2.2559,   6.3204,   4.8277,  -0.1322,  -0.0803,   0.2896,   1.1802,   4.5827,   4.0164,   1.7583,   1.5033,   0.8330,   0.3503,  -0.0394,   0.2736,   1.1473,   0.6411,   3.7962,   4.8153,   3.7056,  -0.5005,   0.2322,   0.0012,   1.5940,   0.0148,   0.0437,   0.7587,   0.9293,   0.9265,   0.4465,   0.2565,   0.1770,   0.8896,   0.0104,   0.0127,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T01.9953,                                          2.1220,   5.8902,   4.5407,  -0.1238,  -0.0735,   0.2982,   1.3623,   4.1092,   3.7296,   1.6753,   1.4304,   0.7829,   0.3174,   0.0519,   0.2885,   1.1736,   0.6699,   3.6251,   4.5809,   3.5428,  -0.4956,   0.2382,   0.0027,   1.6288,   0.0146,   0.0446,   0.7753,   0.9408,   0.9321,   0.4400,   0.2530,   0.1742,   0.8941,   0.0097,   0.0112,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T02.2387,                                          2.0352,   5.4990,   4.2864,  -0.1159,  -0.0671,   0.3002,   1.4528,   3.7196,   3.4904,   1.5869,   1.3516,   0.7246,   0.2739,   0.1136,   0.2970,   1.1555,   0.6851,   3.4627,   4.3416,   3.3847,  -0.4772,   0.2416,   0.0027,   1.6208,   0.0150,   0.0449,   0.7776,   0.9322,   0.9309,   0.4357,   0.2483,   0.1693,   0.8968,   0.0099,   0.0115,  99.9999,  99.9999,  99.9999
Mun1.30Zm1.71T02.5119,                                          2.0950,   5.5366,   4.3042,  -0.1171,  -0.0681,   0.3050,   1.4264,   3.7683,   3.5179,   1.5913,   1.3555,   0.7260,   0.2736,   0.1036,   0.2877,   1.1466,   0.6328,   3.4833,   4.3646,   3.4052,  -0.4704,   0.2396,   0.0037,   1.6090,   0.0141,   0.0447,   0.7908,   0.9227,   0.9278,   0.4314,   0.2453,   0.1692,   0.9020,   0.0099,   0.0114,  99.9999,  99.9999,  99.9999
